parcel_id,la_case_id,village_name,tehsil,district,state,area_ha,land_use_type,soil_class,irrigation_status,market_value_per_ha_inr,compensation_rate_per_ha_inr,latitude,longitude,project_id,case_number,notification_date,larr_applicable,acquisition_purpose,total_area_ha,no_of_families_affected,rural_urban_mix,consent_required,consent_percentage,status,expected_possession_date,actual_possession_date,delay_days,project_name,project_type,sector,implementing_agency,total_land_required_ha,total_estimated_cost_cr,project_start_date,expected_completion_date,stakeholder_count,total_area_owned_ha,total_compensation_offered_inr,total_compensation_accepted_inr,objections_count,litigation_count,consent_count,milestone_count,first_milestone_date,last_milestone_date,clearance_count,clearance_approved_count,clearance_pending_count,dispute_count,dispute_delay_days,delay_event_count,event_delay_days,area_acres,compensation_to_market_ratio,families_per_ha,compensation_acceptance_ratio,has_dispute,has_delay_events,has_litigation,synthetic_record_id,source_record_id,data_origin,is_synthetic
172,42,Padur 18,Cuddalore,Cuddalore,Tamil Nadu,21.230986080516658,Agricultural,Loamy,Non-Irrigated,9785862.365398848,12790023.447280707,11.743141173820083,79.65218638828796,7,TN/LA/Urban Metro/7/42,2024-05-17,True,Urban Metro Rail,5.785685445842701,94.4199395795858,Mixed,False,,Possession Taken,2025-10-19,2026-03-07,139.0,Metro Line: Cuddalore 7,Urban Metro,Transport,TIDCO,81.74,8497.197757085258,2024-04-22,2029-04-21,10,21.4,344429242,284239690.0,0,0,10,7.0,2024-06-23,2026-03-07,3,3,0,,,,,52.462909044317655,1.3069899176698072,16.31957707749756,0.8252484264968419,0,0,0,ACQ_SYN_000001,172,synthetic_augmented_from_existing_dataset,1
1486,378,Madhavaram 20,Coimbatore,Coimbatore,Tamil Nadu,10.735054716967555,Coastal,Loamy,Irrigated,71442333.36833023,104278753.87234396,10.987341742144281,76.99250330675504,64,TN/LA/Railway/64/378,2024-11-18,False,Railway Corridor,40.06829269476042,245.37290574414317,Mostly Urban,False,,Completed,2026-12-21,2027-04-17,117.0,Rail Link: Coimbatore 64,Railway,Transport,Chennai Metro Rail Ltd,189.19,1384.9961010880997,2024-06-16,2029-06-15,19,15.09,792439139,613625070.0,3,0,19,7.0,2024-12-17,2027-04-17,1,1,0,,,2.0,235.0,26.52689785892115,1.4596213331208165,6.1238672586673415,0.7743497762797907,0,1,0,ACQ_SYN_000002,1486,synthetic_augmented_from_existing_dataset,1
1257,320,Karanai 3,Chengalpattu,Chengalpattu,Tamil Nadu,25.49210668878408,Forest,Loamy,Irrigated,6641968.680981588,9707884.245728109,12.713190000844575,80.00068245171872,55,TN/LA/Urban Housing/55/320,2020-06-17,True,Affordable Housing,15.062223469675875,248.03222962935465,Mostly Rural,True,93.8,Award_Declared,2022-03-07,,,Affordable Housing: Chengalpattu 55,Urban Housing,Housing,TNHB,66.87,446.54221616175136,2020-04-07,2023-04-07,19,22.67,313361258,257361432.0,7,1,11,6.0,2020-08-02,2021-05-08,1,1,0,,,3.0,276.0,62.99236735824638,1.4615974136592018,16.467172335393062,0.8212930776528858,0,1,1,ACQ_SYN_000003,1257,synthetic_augmented_from_existing_dataset,1
843,215,Perungalathur 15,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,20.721313197547392,Coastal,Urban Fill,Irrigated,34806815.59318534,41461485.91692893,10.821037516635204,78.72893032496667,35,TN/LA/Power/35/215,2023-03-07,True,Power Project,16.362187681428335,78.52388889770666,Mostly Urban,False,,Completed,2024-03-28,2024-07-09,103.0,Thermal Power Expansion: Tiruchirappalli 35,Power,Energy,TNHB,295.52,4464.32199765036,2023-01-28,2029-01-26,5,10.03,549029224,259304560.0,2,1,5,7.0,2023-03-26,2024-10-21,3,2,1,1.0,125.0,1.0,200.0,51.20347992500277,1.19118871434612,4.79910696702459,0.4722964619457124,1,1,1,ACQ_SYN_000004,843,synthetic_augmented_from_existing_dataset,1
831,212,Madhavaram 11,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,21.678882622792937,Agricultural,Alluvial,Non-Irrigated,13752767.985800236,16391387.79331543,10.806951896871109,78.73929874698636,35,TN/LA/Power/35/212,2023-07-15,True,Power Project,24.277885654198187,215.3637529060059,Mixed,False,,Completed,2025-06-23,2026-01-08,199.0,Thermal Power Expansion: Tiruchirappalli 35,Power,Energy,TNHB,295.52,4522.941906413777,2023-01-28,2029-01-26,11,14.84,196814830,93826518.0,1,0,11,5.0,2023-08-01,2026-01-08,3,3,0,,,2.0,92.0,53.56968550159528,1.1918609991995484,8.870778780884683,0.4767248382654904,0,1,0,ACQ_SYN_000005,831,synthetic_augmented_from_existing_dataset,1
1648,415,Oragadam 3,Thanjavur,Thanjavur,Tamil Nadu,11.069592280030164,Commercial,Urban Fill,Partly Irrigated,14606433.054784147,16026215.47690293,10.84101378119845,79.17330912231928,70,TN/LA/Railway/70/415,2021-11-30,True,Railway Corridor,17.047155486640307,156.60239776639554,Mostly Rural,False,,Litigated,2023-02-16,,,Freight Corridor: Thanjavur 70,Railway,Transport,V.O. Chidambaranar Port,243.71,2891.041236622239,2021-09-13,2027-09-12,18,33.1,576696534,479609286.0,2,0,18,6.0,2022-01-19,2023-04-18,3,2,1,,,3.0,110.0,27.353558178715122,1.0972025419754177,9.186423969038316,0.8316493298015902,0,1,0,ACQ_SYN_000006,1648,synthetic_augmented_from_existing_dataset,1
165,38,Ayappan Pattinam 1,Tirunelveli,Tirunelveli,Tamil Nadu,11.106766717024103,Coastal,Black Cotton,Non-Irrigated,20240802.417548377,26290259.509833906,8.719560355707985,77.70946046805257,6,TN/LA/Port/6/38,2023-04-15,True,Port/Coastal Infrastructure,19.86963327561506,98.1304059268057,Mixed,False,,Consent_Process_End,2024-03-24,,,Port Expansion: Tirunelveli 6,Port,Transport,TNEB,132.53,1726.635790128128,2022-12-22,2025-12-21,18,39.68,630891165,488727068.0,2,0,18,4.0,2023-05-31,2024-06-08,1,1,0,,,1.0,0.0,27.4454182128836,1.298874371059557,4.938712484806445,0.7746614552765214,0,1,0,ACQ_SYN_000007,165,synthetic_augmented_from_existing_dataset,1
1339,344,Manapakkam 16,Ranipet,Ranipet,Tamil Nadu,13.841288830469628,Forest,Red Soil,Non-Irrigated,59106619.49906985,83108077.97529681,12.959340917651774,79.30076444166659,58,TN/LA/Railway/58/344,2024-05-27,True,Railway Corridor,36.41578887926441,151.31256613589633,Mostly Urban,False,,Possession Taken,2026-09-17,2027-05-12,237.0,Railway Corridor: Ranipet 58,Railway,Transport,Chennai Metro Rail Ltd,297.49,3133.9022137095562,2024-01-12,2030-01-10,11,14.2,755019719,555916683.0,2,1,11,6.0,2024-07-19,2027-05-12,2,1,1,2.0,0.0,2.0,101.0,34.20256949984242,1.4060705667087705,4.155136296444632,0.7362942569715851,1,1,1,ACQ_SYN_000008,1339,synthetic_augmented_from_existing_dataset,1
387,102,Thogamalai 7,Ranipet,Ranipet,Tamil Nadu,24.20084998029517,Agricultural,Urban Fill,Partly Irrigated,43777521.04455203,58835692.87823263,12.954187685980415,79.27828746587024,16,TN/LA/Port/16/102,2024-12-31,True,Port/Coastal Infrastructure,18.261207758057196,166.69169172573987,Mostly Urban,False,,Objections_Received,2027-05-30,,,New Terminal: Ranipet 16,Port,Transport,V.O. Chidambaranar Port,184.63,1297.829077250488,2024-12-23,2028-12-22,10,17.86,991904889,380004447.0,4,2,10,4.0,2025-01-31,2026-02-06,2,2,0,2.0,0.0,,,59.801602549046805,1.3439704093421831,9.1281854921229,0.3831057304124246,1,0,1,ACQ_SYN_000009,387,synthetic_augmented_from_existing_dataset,1
181,45,Pudur 11,Cuddalore,Cuddalore,Tamil Nadu,15.765472870377767,Forest,Saline,Non-Irrigated,20841288.214362618,29283390.0210584,11.69166859609666,79.60820509775004,7,TN/LA/Urban Metro/7/45,2024-05-15,True,Urban Metro Rail,16.39086259212071,210.94861520410265,Mostly Rural,False,,Award_Declared,2026-11-01,,,Metro Line: Cuddalore 7,Urban Metro,Transport,TIDCO,81.74,9583.435489743437,2024-04-22,2029-04-21,17,28.13,406222548,398620487.0,1,1,17,6.0,2024-06-15,2025-06-21,2,2,0,,,3.0,325.0,38.95733180279861,1.4050662185496754,12.869891015101809,0.9812859698767878,0,1,1,ACQ_SYN_000010,181,synthetic_augmented_from_existing_dataset,1
