Land_ID,District,Taluk,Village,Survey_No,Extent_Hectares,Area_Sqft,Soil_pH,No_of_Owners,Ownership_Type,Land_Type,Soil_Type,Flood_Risk,Water_Availability,Document_Issue,Owner_Objection,Court_Case,Compensation_Status,FMB,A_Register,Document_Verified,Objection,Acquisition_Days,Delay_Status,Delay_Risk_Band,latitude,longitude,Source_Reference
ACQ_SYN_000001,Cuddalore,Cuddalore,Padur 18,42/172,21.231,2285284.32,6.6,10,Joint,Agricultural,Loamy,No,No,Available,No,No,Verification completed,Yes,Yes,Yes,No,139.0,Delayed,High,11.743141173820083,79.65218638828796,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000002,Coimbatore,Coimbatore,Madhavaram 20,378/1486,10.7351,1155511.67,6.2,19,Joint,Coastal,Loamy,Yes,Yes,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,117.0,Delayed,Medium,10.98734174214428,76.99250330675504,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000003,Chengalpattu,Chengalpattu,Karanai 3,320/1257,25.4921,2743947.52,6.7,19,Joint,Forest,Loamy,Yes,Yes,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,276.0,Delayed,High,12.713190000844577,80.00068245171872,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000004,Tiruchirappalli,Tiruchirappalli,Perungalathur 15,215/843,20.7213,2230423.59,7.4,5,Joint,Coastal,Urban Fill,Yes,Yes,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,103.0,Delayed,Medium,10.821037516635204,78.72893032496667,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000005,Tiruchirappalli,Tiruchirappalli,Madhavaram 11,212/831,21.6789,2333495.5,6.8,11,Joint,Agricultural,Alluvial,No,No,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,199.0,Delayed,High,10.806951896871109,78.73929874698636,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000006,Thanjavur,Thanjavur,Oragadam 3,415/1648,11.0696,1191520.99,6.9,18,Joint,Commercial,Urban Fill,No,Yes,Not Available,Yes,No,Withheld pending court,Yes,Yes,No,Yes,110.0,Delayed,Medium,10.84101378119845,79.17330912231928,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000007,Tirunelveli,Tirunelveli,Ayappan Pattinam 1,38/165,11.1068,1195522.42,7.9,18,Joint,Coastal,Black Cotton,Yes,No,Available,Yes,No,Verification pending,Yes,Yes,Yes,Yes,0.0,No Delay,Low,8.719560355707985,77.70946046805257,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000008,Ranipet,Ranipet,Manapakkam 16,344/1339,13.8413,1489863.93,6.7,11,Joint,Forest,Red Soil,No,No,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,237.0,Delayed,High,12.959340917651774,79.30076444166659,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000009,Ranipet,Ranipet,Thogamalai 7,102/387,24.2008,2604957.81,7.2,10,Joint,Agricultural,Urban Fill,No,Yes,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,Yes,Yes,0.0,No Delay,Low,12.954187685980417,79.27828746587024,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000010,Cuddalore,Cuddalore,Pudur 11,45/181,15.7655,1696981.37,8.4,17,Joint,Forest,Saline,No,No,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,325.0,Delayed,High,11.69166859609666,79.60820509775004,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000011,Chennai,Chennai,Manapakkam 6,258/1011,6.6988,721057.92,7.0,18,Joint,Residential,Red Soil,No,No,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,216.0,Delayed,High,13.064797894134628,80.21862169830129,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000012,Chengalpattu,Chengalpattu,Sriperumbudur 7,473/1873,6.1911,666401.3,6.7,9,Joint,Forest,Loamy,Yes,Yes,Available,Yes,Yes,Verification pending,Yes,Yes,Yes,Yes,0.0,No Delay,Low,12.64431513005286,79.93011257613092,AcquiSight 20K Synthetic Augmented Dataset
ACQ_SYN_000013,Cuddalore,Cuddalore,Siruseri 9,360/1412,12.4041,1335171.04,6.5,19,Joint,Agricultural,Loamy,Yes,Yes,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,1.0,No Delay,Low,11.806946873786632,79.64130746323238,AcquiSight 20K Synthetic Augmented Dataset
