parcel_id,la_case_id,village_name,tehsil,district,state,area_ha,land_use_type,soil_class,irrigation_status,market_value_per_ha_inr,compensation_rate_per_ha_inr,latitude,longitude
1,1,Pammalur 19,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,4.26,Forest,Saline,Irrigated,11648538,13673303,10.74175,78.68134
2,1,Kallikudi 2,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,10.06,Forest,Red Soil,Non-Irrigated,7987066,9579538,10.79677,78.70328
3,1,Ayappan Pattinam 2,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,17.47,Barren,Alluvial,Non-Irrigated,17229311,19173557,10.80246,78.65931
4,1,Karanai 20,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,22.58,Barren,Saline,Irrigated,11781846,14766144,10.78413,78.72837
5,2,Oragadam 5,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,20.43,Coastal,Urban Fill,Irrigated,13891365,16072806,10.83109,78.66385
6,2,Perungalathur 19,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,20.06,Residential,Loamy,Partly Irrigated,12423697,14503754,10.82178,78.70212
7,2,Pammalur 2,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,5.6,Agricultural,Loamy,Partly Irrigated,9317805,10146629,10.76438,78.66774
8,3,Sriperumbudur 18,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,7.39,Agricultural,Alluvial,Non-Irrigated,21550275,26651184,10.78536,78.73322
9,3,Thogamalai 14,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,10.43,Residential,Urban Fill,Partly Irrigated,6240717,8171066,10.80257,78.6868
10,3,Kelambakkam 18,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,13.97,Barren,Black Cotton,Irrigated,6978867,7358133,10.75183,78.68829
11,3,Sholinganallur 12,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,3.91,Barren,Alluvial,Non-Irrigated,15679392,20823509,10.79986,78.73386
12,4,Karanai 4,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,7.46,Industrial,Urban Fill,Irrigated,79117382,87456114,10.78713,78.71178
13,4,Pammalur 13,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,18.34,Barren,Urban Fill,Partly Irrigated,30697316,38627686,10.82543,78.64175
14,5,Madhavaram 19,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9.07,Industrial,Alluvial,Irrigated,42383669,55178205,10.75122,78.73513
15,5,Karanai 1,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,10.55,Forest,Alluvial,Partly Irrigated,44618161,52895944,10.75635,78.68246
16,5,Kallikudi 1,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,13.55,Forest,Loamy,Irrigated,50697577,56815235,10.78839,78.67715
17,5,Kelambakkam 20,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9.06,Industrial,Black Cotton,Non-Irrigated,27253168,28642107,10.72728,78.75259
18,6,Karanai 11,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,24.09,Residential,Sandy,Partly Irrigated,9356889,11918920,10.76671,78.65199
19,6,Pammalur 3,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,6.1,Coastal,Alluvial,Partly Irrigated,9485369,10921661,10.75936,78.7624
20,6,Kallikudi 16,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,22.05,Forest,Alluvial,Partly Irrigated,13908669,18686088,10.75647,78.7561
21,6,Padur 7,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,5.15,Barren,Urban Fill,Partly Irrigated,18593637,23371360,10.79966,78.74798
22,6,Padur 11,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,9.77,Agricultural,Loamy,Partly Irrigated,5911108,6555757,10.8405,78.70624
23,6,Sriperumbudur 20,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,8.0,Residential,Red Soil,Non-Irrigated,19736116,25135726,10.77951,78.75368
24,7,Oragadam 12,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,22.45,Residential,Saline,Partly Irrigated,15555676,17704885,10.83619,78.75949
25,7,Samayapuram 10,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,13.13,Agricultural,Black Cotton,Non-Irrigated,11556648,13303612,10.79206,78.76283
26,7,Karanai 9,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,22.03,Residential,Red Soil,Irrigated,21101377,24726202,10.79196,78.71671
27,7,Madhavaram 19,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,20.59,Coastal,Urban Fill,Partly Irrigated,11048352,12081269,10.75842,78.72403
28,7,Karanai 8,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,16.64,Forest,Red Soil,Partly Irrigated,12922552,16457008,10.82695,78.658
29,7,Perungalathur 9,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,20.7,Commercial,Saline,Partly Irrigated,11743064,13006984,10.83595,78.69817
30,8,Kelambakkam 17,Karur,Karur,Tamil Nadu,22.73,Commercial,Alluvial,Partly Irrigated,41112867,50533362,10.99072,78.08108
31,8,Neelambur 20,Karur,Karur,Tamil Nadu,17.1,Residential,Alluvial,Non-Irrigated,63502242,69153132,10.99659,78.07725
32,8,Perungalathur 20,Karur,Karur,Tamil Nadu,4.77,Coastal,Loamy,Partly Irrigated,50265822,65273477,10.97018,78.05806
33,8,Padur 16,Karur,Karur,Tamil Nadu,6.54,Agricultural,Loamy,Partly Irrigated,43722592,49981450,11.00837,78.03342
34,8,Sholinganallur 15,Karur,Karur,Tamil Nadu,20.15,Agricultural,Sandy,Irrigated,50348407,61800496,11.00754,78.08483
35,8,Karanai 12,Karur,Karur,Tamil Nadu,14.26,Forest,Red Soil,Partly Irrigated,47635798,53767086,10.94863,78.12102
36,9,Nandambakkam 1,Karur,Karur,Tamil Nadu,8.82,Residential,Sandy,Irrigated,24019108,31467748,10.99585,78.09244
37,9,Neelambur 4,Karur,Karur,Tamil Nadu,16.99,Coastal,Black Cotton,Non-Irrigated,17771069,20303351,10.99203,78.0407
38,10,Madhavaram 13,Karur,Karur,Tamil Nadu,10.52,Industrial,Sandy,Irrigated,16659228,19006824,10.98147,78.06743
39,10,Padur 4,Karur,Karur,Tamil Nadu,17.43,Barren,Alluvial,Irrigated,11633899,12602875,10.99958,78.09851
40,10,Madhavaram 12,Karur,Karur,Tamil Nadu,14.32,Industrial,Red Soil,Partly Irrigated,14459942,19461366,10.99904,78.04833
41,10,Kelambakkam 6,Karur,Karur,Tamil Nadu,18.45,Residential,Red Soil,Non-Irrigated,6485907,7912281,10.98755,78.0285
42,10,Perungalathur 20,Karur,Karur,Tamil Nadu,4.39,Forest,Saline,Partly Irrigated,13496432,15444100,10.96853,78.05127
43,11,Karanai 20,Karur,Karur,Tamil Nadu,12.66,Industrial,Loamy,Irrigated,11948833,14522719,11.00487,78.08419
