Area (sq.ft),Soil pH,No. of Owners,No. of Objections,Valuation Gap (%),Land Use,Ownership,Flood Risk,Water Availability,Soil Type,Title Dispute,Court Case,Document Status,Acquisition Notice,Compensation Status,Road Access,Delay Days,Land ID,District,Taluk,Village
22152.0,6.0,5,0,13.0,Residential,Individual,Medium,Low,Red Soil,No,No,Incomplete,Issued,Not Started,Good,90.0,LND001,Chennai,Tiruvottiyur,Kathivakkam
2069.0,6.9,4,5,17.0,Mixed,Joint,Medium,High,Black Soil,No,No,Complete,Issued,Approved,Moderate,80.0,LND002,Coimbatore,Sulur,Kittampalayam
4549.0,7.1,4,0,23.0,Residential,Private Company,Low,Medium,Red Soil,No,No,Partial,Not Issued,Paid,Moderate,134.0,LND003,Madurai,Melur,Arittapatti
2701.0,7.8,3,2,17.0,Agricultural,Government,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,330.0,LND004,Tiruchirappalli,Manachanallur,Samayapuram
21160.0,6.2,2,6,25.0,Agricultural,Joint,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,219.0,LND005,Salem,Omalur,Karuppur
19785.0,7.9,2,5,16.0,Commercial,Joint,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Paid,Poor,135.0,LND006,Tirunelveli,Palayamkottai,Pettai
14287.0,6.8,1,6,4.0,Commercial,Joint,High,Low,Red Soil,No,No,Complete,Issued,Approved,Poor,110.0,LND007,Erode,Perundurai,Vijayamangalam
16537.0,7.3,5,0,10.0,Mixed,Government,High,Low,Red Soil,No,No,Complete,Not Issued,Negotiation,Moderate,119.0,LND008,Thanjavur,Orathanadu,Vandayarriruppu
17603.0,7.8,5,6,33.0,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,151.0,LND009,Vellore,Katpadi,Kilur
17210.0,6.1,5,6,8.0,Residential,Individual,High,Medium,Black Soil,No,No,Complete,Issued,Not Started,Poor,183.0,LND010,Dindigul,Nilakottai,Batlagundu
19215.0,6.6,5,5,33.0,Agricultural,Government,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,266.0,LND011,Chennai,Ambattur,Mannurpet
8562.0,6.0,1,0,4.0,Residential,Government,Low,High,Black Soil,No,No,Complete,Issued,Not Started,Moderate,47.0,LND012,Coimbatore,Pollachi,Kinathukadavu
23121.0,8.0,5,1,27.0,Industrial,Joint,Medium,High,Clay Loam,Yes,Yes,Partial,Issued,Not Started,Good,241.0,LND013,Madurai,Thirumangalam,Kappalur
16503.0,6.4,2,1,17.0,Residential,Individual,Low,High,Red Soil,No,No,Complete,Issued,Approved,Good,44.0,LND014,Tiruchirappalli,Srirangam,Allur
15720.0,7.7,2,3,3.0,Mixed,Individual,Low,High,Red Soil,No,No,Partial,Issued,Under Review,Moderate,82.0,LND015,Salem,Attur,Thammampatti
13993.0,8.1,4,1,34.0,Commercial,Private Company,Low,High,Clay Loam,No,No,Complete,Issued,Not Started,Poor,68.0,LND016,Tirunelveli,Ambasamudram,Kallidaikurichi
3073.0,5.8,1,0,7.0,Residential,Private Company,Medium,High,Clay Loam,No,No,Complete,Not Issued,Under Review,Moderate,51.0,LND017,Erode,Bhavani,Chithode
20681.0,7.0,3,2,19.0,Residential,Individual,Low,High,Alluvial,No,No,Complete,Issued,Approved,Good,44.0,LND018,Thanjavur,Pattukkottai,Madukkur
1505.0,6.8,3,2,34.0,Industrial,Individual,Low,Low,Black Soil,No,No,Complete,Issued,Under Review,Moderate,99.0,LND019,Vellore,Gudiyatham,Paradarami
1456.0,8.0,3,2,13.0,Mixed,Government,High,Low,Black Soil,No,No,Complete,Issued,Negotiation,Poor,334.0,LND020,Dindigul,Oddanchatram,Kallimandayam
23727.0,5.7,3,6,16.0,Commercial,Private Company,Low,Low,Sandy Loam,No,No,Complete,Issued,Under Review,Poor,81.0,LND021,Chennai,Tiruvottiyur,Kathivakkam
