Area_Sqft,Soil_pH,No_of_Owners,District,Land_Type,Flood_Risk,Water_Availability,Soil_Type,Document_Issue,Owner_Objection,Court_Case,Compensation_Status,FMB,A_Register,Document_Verified,Objection,Ownership_Type,Acquisition_Days,Delay_Status,Land_ID,Taluk,Village,Survey_No,Delay_Risk_Band,latitude,longitude
959326.07,6.3,15,Thanjavur,Residential,No,Yes,Loamy,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,Joint,79.0,Delayed,ACQ_SYN_000043,Thanjavur,Oragadam 16,345/1345,Medium,10.848694982168665,79.19030055250919
1313681.17,6.4,20,Villupuram,Coastal,Yes,No,Red Soil,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,165.0,Delayed,ACQ_SYN_012949,Villupuram,Manapakkam 6,281/1105,High,11.879912084134569,79.43245237183842
1025938.87,6.0,18,Tiruchirappalli,Commercial,No,Yes,Loamy,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,80.0,Delayed,ACQ_SYN_004254,Tiruchirappalli,Kallikudi 19,167/651,Medium,10.809262154144315,78.66968418380074
392753.0,7.2,14,Coimbatore,Industrial,Yes,Yes,Urban Fill,Not Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,11.0,No Delay,ACQ_SYN_011859,Coimbatore,Pammalur 11,124/480,Low,11.025347987027422,76.9195341309115
2373254.67,7.4,12,Kancheepuram,Residential,No,No,Urban Fill,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,1.0,No Delay,ACQ_SYN_005499,Kancheepuram,Oragadam 4,480/1900,Low,12.829790801826896,79.69756137206666
1984553.94,9.2,14,Kancheepuram,Forest,Yes,Yes,Saline,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,59.0,No Delay,ACQ_SYN_006823,Kancheepuram,Kallikudi 19,483/1915,Low,12.820588327573384,79.70372975227598
2612685.29,6.6,19,Cuddalore,Residential,No,Yes,Sandy,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,1.0,No Delay,ACQ_SYN_014695,Cuddalore,Nandambakkam 18,360/1411,Low,11.724290854100502,79.68964459729163
873330.25,8.6,18,Karur,Barren,No,No,Saline,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,Joint,257.0,Delayed,ACQ_SYN_005552,Karur,Pammalur 9,175/681,High,10.940128691307368,78.11225433939144
1361512.32,7.2,12,Kancheepuram,Residential,No,Yes,Alluvial,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,1.0,No Delay,ACQ_SYN_006983,Kancheepuram,Manapakkam 3,480/1905,Low,12.804136333797675,79.71113967766112
2551230.12,6.6,7,Salem,Forest,No,Yes,Loamy,Not Available,No,No,Withheld pending court,Yes,Yes,No,No,Joint,432.0,Delayed,ACQ_SYN_013900,Salem,Nandambakkam 14,431/1709,High,11.641957809219946,78.11699112382136
