feature,importance
Owner_Objection,0.38056247550888056
Objection,0.29898024149028013
Compensation_Status,0.1685743810224047
Document_Verified,0.08074666311152602
Court_Case,0.04791159202439286
Flood_Risk,0.008626325511877005
District,0.004222343119828337
Area_Sqft,0.0027101502945827026
Land_Type,0.002098666430234484
Soil_pH,0.0016887646020948659
Document_Issue,0.0014186763728187054
Water_Availability,0.0010523300403267864
Soil_Type,0.00051371636442528
FMB,0.00047313023845082673
No_of_Owners,0.00031668438945287334
Ownership_Type,0.00010385947842392089
A_Register,0.0
